9000,660,-20
9300,660,-20
9500,660,-20
9600,660,-20
9900,660,-20
10000,660,-20
10100,660,-20
10400,660,-20
10500,660,-20
10700,660,-20
11000,660,-20
9000,1660,-31.175
9300,1660,-25.663
9500,1660,-23.007
9600,1660,-21.964
9900,1660,-20.144
10000,1660,-20.001
10100,1660,-20.144
10400,1660,-21.964
10500,1660,-23.007
10700,1660,-25.663
11000,1660,-31.175
9720,760,-20.993
9760,860,-20.74
9783.3,960,-20.627
9796,1060,-20.523
9800,1160,-20.523
9796,1260,-20.523
9783.3,1360,-20.627
9760,1460,-20.74
9720,1560,-20.993
10000,760,-20.001
10000,860,-20.001
10000,960,-20.001
10000,1060,-20.001
10000,1160,-20.001
10000,1260,-20.001
10000,1360,-20.001
10000,1460,-20.001
10000,1560,-20.001
10280,760,-20.993
10240,860,-20.74
10217,960,-20.627
10204,1060,-20.523
10200,1160,-20.523
10204,1260,-20.523
10217,1360,-20.627
10240,1460,-20.74
10280,1560,-20.993
9000,688,-20
9300,688,-20
9500,688,-20
9600,688,-20
9900,688,-20
10000,688,-20
10100,688,-20
10400,688,-20
10500,688,-20
10700,688,-20
11000,688,-20
9000,1688,-31.175
9300,1688,-25.663
9500,1688,-23.007
9600,1688,-21.964
9900,1688,-20.144
10000,1688,-20.001
10100,1688,-20.144
10400,1688,-21.964
10500,1688,-23.007
10700,1688,-25.663
11000,1688,-31.175
9720,788,-20.993
9760,888,-20.74
9783.3,988,-20.627
9796,1088,-20.523
9800,1188,-20.523
9796,1288,-20.523
9783.3,1388,-20.627
9760,1488,-20.74
9720,1588,-20.993
10000,788,-20.001
10000,888,-20.001
10000,988,-20.001
10000,1088,-20.001
10000,1188,-20.001
10000,1288,-20.001
10000,1388,-20.001
10000,1488,-20.001
10000,1588,-20.001
10280,788,-20.993
10240,888,-20.74
10217,988,-20.627
10204,1088,-20.523
10200,1188,-20.523
10204,1288,-20.523
10217,1388,-20.627
10240,1488,-20.74
10280,1588,-20.993
